Geneid	Chr	Start	End	Strand	Length	./NV-Ctrl1.sam	./NV-Ctrl2.sam	./NV-Ctrl3.sam	./NV-Ctrl4.sam	./NV-Ctrl5.sam	./NV-Oxi1.sam	./NV-Oxi2.sam	./NV-Oxi3.sam	./NV-Oxi4.sam	./NV-Oxi5.sam		Average Ctrl	Average Oxi	Percentage Oxi	Ctrl Percentage
gene1229	CP007536.1	974951	976462	-	1512	12222	11587	9502	9430	12241	36	53	37	12	33		10996.4	34.2		
gene2315	CP007536.1	1851387	1852595	+	1209	1205	1189	1004	1253	1223	61	36	44	17	13		1174.8	34.2		
gene1655	CP007536.1	1325075	1325512	-	438	660	549	525	701	579	64	32	20	38	15		602.8	33.8		
gene64	CP007536.1	50506	51846	-	1341	2230	2025	1731	1759	2330	46	33	20	29	39		2015	33.4		
gene303	CP007536.1	249016	249342	-	327	1699	1530	1452	1691	1475	53	45	22	20	27		1569.4	33.4		
gene535	CP007536.1	414641	415639	-	999	15016	12933	11510	11597	13776	23	66	24	40	14		12966.4	33.4		
gene2179	CP007536.1	1740637	1741854	-	1218	8128	7223	6414	6996	7178	22	58	17	29	41		7187.8	33.4		
gene2296	CP007536.1	1831621	1832556	+	936	344	479	338	282	358	50	43	26	35	13		360.2	33.4		
gene1815	CP007536.1	1455912	1456559	-	648	2819	2440	2096	2547	2642	46	29	19	29	43		2508.8	33.2		
gene1852	CP007536.1	1484408	1485349	-	942	10758	9930	8351	8620	9996	32	39	14	50	29		9531	32.8		
gene34	CP007536.1	26637	27476	-	840	2427	2124	1847	1849	2459	54	40	2	32	35		2141.2	32.6		
gene2564	CP007536.1	2045805	2046659	-	855	1100	1006	941	986	1101	46	21	36	20	40		1026.8	32.6		
gene73	CP007536.1	57356	58009	+	654	6736	6169	5360	5741	7055	39	23	26	17	57		6212.2	32.4		
gene732	CP007536.1	568263	568625	-	363	2414	1613	1880	2012	2122	52	38	25	35	12		2008.2	32.4		
gene13	CP007536.1	11961	12896	+	936	2502	2254	1530	1468	2892	50	53	21	25	12		2129.2	32.2		
gene556	CP007536.1	430792	432489	-	1698	11176	9614	8944	8719	9887	35	36	42	23	25		9668	32.2		
gene617	CP007536.1	477164	478027	-	864	2765	2375	1978	2060	2460	28	30	28	46	29		2327.6	32.2		
gene2338	CP007536.1	1874788	1875615	-	828	475	471	510	682	420	35	2	46	22	56		511.6	32.2		
gene2403	CP007536.1	1921528	1922685	+	1158	594	511	492	568	590	42	70	3	28	18		551	32.2		
gene1033	CP007536.1	823828	824574	+	747	3499	3263	2775	3195	3258	62	25	16	24	33		3198	32		
gene2812	CP007536.1	2247302	2247520	+	219	837	910	725	777	713	12	33	10	63	42		792.4	32		
gene1006	CP007536.1	809504	809851	+	348	84	89	91	127	138	47	28	23	9	52		105.8	31.8		
gene1905	CP007536.1	1527558	1528568	-	1011	269	260	245	274	270	21	43	38	23	34		263.6	31.8		
gene2013	CP007536.1	1610031	1611266	-	1236	3495	2984	2308	2559	2988	50	40	4	34	31		2866.8	31.8		
gene2141	CP007536.1	1705462	1706421	-	960	834	676	573	622	886	81	6	8	30	34		718.2	31.8		
gene2398	CP007536.1	1917464	1918948	-	1485	1247	1044	887	1013	1206	21	63	27	23	23		1079.4	31.4		
gene163	CP007536.1	149695	150003	+	309	5314	4178	4007	4733	4934	48	56	7	30	15		4633.2	31.2		
gene569	CP007536.1	442216	443061	+	846	2540	2091	2010	2016	2215	57	21	33	17	28		2174.4	31.2		
gene1723	CP007536.1	1385590	1385979	-	390	7617	6934	5821	6541	8007	25	65	9	17	40		6984	31.2		
gene2955	CP007536.1	2352240	2352782	+	543	604	440	449	511	523	48	30	23	16	39		505.4	31.2		
gene992	CP007536.1	794730	796880	+	2151	240	237	227	281	243	19	45	41	17	33		245.6	31		
gene1982	CP007536.1	1587500	1588156	+	657	1274	899	873	1019	1133	38	50	10	24	33		1039.6	31		
gene2736	CP007536.1	2187494	2188441	-	948	3423	2811	2453	2817	2848	27	44	36	39	9		2870.4	31		
gene334	CP007536.1	272497	273681	+	1185	2834	2586	2210	2670	2684	35	30	45	12	32		2596.8	30.8		
gene2358	CP007536.1	1889821	1890762	-	942	445	410	266	401	225	37	14	44	39	20		349.4	30.8		
gene2360	CP007536.1	1891437	1892189	-	753	231	218	245	233	204	47	13	8	66	20		226.2	30.8		
gene2737	CP007536.1	2188564	2189091	+	528	4420	4143	3753	3930	3920	30	41	1	38	44		4033.2	30.8		
gene2606	CP007536.1	2081660	2084503	-	2844	5153	4450	3704	3823	4852	36	29	40	26	22		4396.4	30.6		
gene2962	CP007536.1	2358280	2358723	+	444	1089	1048	870	995	1012	52	40	16	36	9		1002.8	30.6		
gene2660	CP007536.1	2116796	2117185	+	390	857	905	759	771	754	25	13	27	29	58		809.2	30.4		
gene439	CP007536.1	347154	347615	+	462	74	67	56	132	60	33	10	14	60	34		77.8	30.2		
gene2958	CP007536.1	2354949	2355842	+	894	2010	1879	1556	1634	2140	11	31	29	50	30		1843.8	30.2		
gene198	CP007536.1	175370	175981	+	612	2511	2634	2087	2536	2511	39	50	13	20	28		2455.8	30		
gene687	CP007536.1	531577	532269	-	693	844	798	776	782	749	58	42	9	20	21		789.8	30		
gene2211	CP007536.1	1764683	1765681	+	999	226	176	163	162	196	47	11	19	38	35		184.6	30		
gene274	CP007536.1	226585	227730	-	1146	3992	3596	3100	3333	4198	33	52	29	24	11		3643.8	29.8		
gene566	CP007536.1	439158	440243	+	1086	1661	1470	1381	1465	1399	36	25	16	22	50		1475.2	29.8		
gene665	CP007536.1	519477	520175	-	699	6305	5903	4800	5151	6178	30	43	0	33	43		5667.4	29.8		
gene801	CP007536.1	620902	622068	+	1167	1667	1439	1284	1362	1346	43	29	33	3	41		1419.6	29.8		
gene520	CP007536.1	407760	408323	-	564	13297	12322	10052	10322	12665	34	36	14	24	40		11731.6	29.6		
gene1425	CP007536.1	1136123	1137019	+	897	351	303	366	423	345	18	69	39	7	15		357.6	29.6		
gene1414	CP007536.1	1125093	1126541	+	1449	788	696	829	946	674	29	23	48	27	20		786.6	29.4		
gene3168	CP007536.1	2514552	2516117	+	1566	4997	4144	3667	4104	5105	21	47	32	18	29		4403.4	29.4		
gene106	CP007536.1	101206	102978	+	1773	6127	5431	4751	5620	5593	25	29	30	23	39		5504.4	29.2		
gene1850	CP007536.1	1481495	1483681	-	2187	3994	3633	3162	3469	4114	64	25	40	5	12		3674.4	29.2		
gene1550	CP007536.1	1240999	1242645	-	1647	4760	4305	3610	3618	4675	27	26	49	20	23		4193.6	29		
gene519	CP007536.1	407562	407671	-	110	184	176	152	256	164	29	34	29	18	34		186.4	28.8		
gene530	CP007536.1	411847	412545	-	699	7902	6904	6657	6109	7620	30	46	26	18	24		7038.4	28.8		
gene1276	CP007536.1	1016526	1017239	+	714	684	735	607	639	686	20	29	30	29	36		670.2	28.8		
gene190	CP007536.1	169967	170257	+	291	57	49	68	69	77	40	15	39	26	23		64	28.6		
gene1788	CP007536.1	1433537	1435636	-	2100	1316	1131	982	1131	1304	34	24	34	23	28		1172.8	28.6		
gene69	CP007536.1	55211	55633	+	423	10042	8320	8439	9214	10020	69	25	22	11	15		9207	28.4		
gene882	CP007536.1	685509	686507	+	999	2046	1709	1646	1758	2067	54	39	7	17	25		1845.2	28.4		
gene984	CP007536.1	782454	782984	+	531	189	136	121	195	160	22	16	9	42	53		160.2	28.4		
gene1037	CP007536.1	825339	825830	+	492	1523	1343	1077	1238	1380	62	20	28	18	14		1312.2	28.4		
gene1210	CP007536.1	963855	964370	+	516	778	622	605	710	767	33	13	29	51	16		696.4	28.4		
gene1366	CP007536.1	1091873	1093777	+	1905	507	426	482	458	454	41	45	14	29	13		465.4	28.4		
gene1461	CP007536.1	1171630	1172442	-	813	2227	1866	1686	1721	1944	66	15	16	30	15		1888.8	28.4		
gene122	CP007536.1	114026	114463	-	438	1685	1503	1458	1368	1510	43	40	12	16	30		1504.8	28.2		
gene143	CP007536.1	136445	136762	-	318	2469	2226	1869	2116	2489	90	28	1	7	15		2233.8	28.2		
gene144	CP007536.1	136814	137476	+	663	1422	1203	1113	1236	1481	45	23	12	23	38		1291	28.2		
gene1900	CP007536.1	1523202	1523543	+	342	66	77	75	81	62	27	25	22	22	45		72.2	28.2		
gene119	CP007536.1	110729	111409	+	681	115	122	100	108	84	18	43	54	24	1		105.8	28		
gene752	CP007536.1	586303	587127	-	825	687	568	516	674	688	37	17	35	6	45		626.6	28		
gene2221	CP007536.1	1773048	1773740	-	693	3686	3181	2997	3654	3179	17	24	39	31	29		3339.4	28		
gene2383	CP007536.1	1909050	1909781	+	732	355	363	267	304	289	55	17	30	21	17		315.6	28		
gene2933	CP007536.1	2333265	2333621	+	357	46	52	45	48	21	22	13	65	0	40		42.4	28		
gene234	CP007536.1	200994	201170	-	177	450	368	380	491	403	11	36	42	25	25		418.4	27.8		
gene409	CP007536.1	329603	330109	+	507	23	24	52	1641	18	34	30	8	31	36		351.6	27.8		
gene531	CP007536.1	412542	413021	-	480	15710	13872	12205	12254	14968	23	30	27	29	30		13801.8	27.8		
gene1235	CP007536.1	981623	982888	-	1266	11978	11000	9953	10291	12037	2	57	33	11	36		11051.8	27.8		
gene1367	CP007536.1	1094428	1094862	+	435	50	28	50	143	31	77	7	23	18	14		60.4	27.8		
gene1650	CP007536.1	1321615	1322160	-	546	3315	3321	2540	2501	3337	35	27	27	17	33		3002.8	27.8		
gene2576	CP007536.1	2055584	2056471	-	888	454	386	371	371	428	75	18	18	15	13		402	27.8		
gene248	CP007536.1	209442	210053	-	612	1427	1106	923	1049	1214	21	38	42	5	32		1143.8	27.6		
gene1509	CP007536.1	1205820	1206761	+	942	3002	2623	2373	2423	3043	6	36	51	24	21		2692.8	27.6		
gene1667	CP007536.1	1332534	1333169	+	636	197	180	166	196	154	68	27	11	21	11		178.6	27.6		
gene2569	CP007536.1	2050816	2051667	+	852	4886	4548	3751	3477	4965	33	45	21	15	24		4325.4	27.6		
gene3083	CP007536.1	2453639	2455429	-	1791	5277	4556	3871	4182	4917	50	21	19	16	32		4560.6	27.6		
gene1864	CP007536.1	1494785	1496104	-	1320	5771	5004	4758	4569	5839	30	33	16	52	6		5188.2	27.4		
gene1983	CP007536.1	1588280	1589317	-	1038	1234	1235	1174	1234	1243	20	25	37	32	23		1224	27.4		
gene2213	CP007536.1	1766665	1767486	+	822	301	281	257	243	265	21	66	24	10	16		269.4	27.4		
gene3129	CP007536.1	2481926	2482426	-	501	3433	3333	2703	2452	3473	25	5	38	27	42		3078.8	27.4		
gene3169	CP007536.1	2516089	2517051	+	963	5617	4869	3929	4295	5796	33	10	36	35	23		4901.2	27.4		
gene301	CP007536.1	247087	248112	-	1026	2521	2103	1857	2122	2246	24	1	38	22	51		2169.8	27.2		
gene989	CP007536.1	792477	794066	+	1590	377	402	433	400	397	51	44	4	29	8		401.8	27.2		
gene2106	CP007536.1	1679506	1680987	+	1482	1863	1584	1555	1801	1565	42	5	15	29	45		1673.6	27.2		
gene1320	CP007536.1	1056176	1056499	+	324	1482	1191	1139	1040	1141	39	2	21	15	58		1198.6	27		
gene3112	CP007536.1	2473403	2473651	-	249	4508	3928	3853	5078	4519	32	18	26	17	42		4377.2	27		
gene3143	CP007536.1	2493193	2493846	+	654	290	251	233	263	258	38	20	37	20	20		259	27		
gene1776	CP007536.1	1422562	1423857	+	1296	542	492	435	437	529	29	33	24	36	12		487	26.8		
gene1835	CP007536.1	1469469	1470056	+	588	2905	2589	2233	2263	2961	59	32	12	10	21		2590.2	26.8		
gene2722	CP007536.1	2177988	2178224	-	237	51	34	38	56	43	43	16	40	17	18		44.4	26.8		
gene3130	CP007536.1	2482428	2483849	-	1422	6551	5303	5389	4789	6492	36	16	31	19	32		5704.8	26.8		
gene292	CP007536.1	240947	241312	+	366	857	831	696	830	803	37	38	15	22	21		803.4	26.6		
gene2666	CP007536.1	2123575	2124228	-	654	1458	1330	1185	1441	1215	25	32	27	37	12		1325.8	26.6		
gene160	CP007536.1	147010	148803	-	1794	5575	4945	4221	4922	5506	41	19	23	9	40		5033.8	26.4		
gene433	CP007536.1	343706	343906	+	201	181	164	189	880	162	33	26	2	43	28		315.2	26.4		
gene1478	CP007536.1	1182451	1183164	-	714	11232	10015	9034	9582	11305	17	22	8	38	47		10233.6	26.4		
gene2652	CP007536.1	2110778	2111269	+	492	3441	2807	2755	3123	2986	28	51	3	15	35		3022.4	26.4		
gene858	CP007536.1	663676	664698	+	1023	4632	4466	3589	3912	4169	23	12	28	26	42		4153.6	26.2		
gene1752	CP007536.1	1408054	1409235	-	1182	6484	5771	5204	5401	6017	29	29	26	22	25		5775.4	26.2		
gene2309	CP007536.1	1846447	1847835	-	1389	10266	8613	7858	8080	9417	22	44	6	22	37		8846.8	26.2		
gene1753	CP007536.1	1409232	1410035	-	804	3907	3559	2969	3206	3398	28	22	35	25	20		3407.8	26		
gene919	CP007536.1	718095	719516	+	1422	3301	2715	2410	2637	3072	20	39	45	6	19		2827	25.8		
gene1140	CP007536.1	910703	912154	-	1452	2882	2620	2255	2580	2559	50	11	13	25	30		2579.2	25.8		
gene1512	CP007536.1	1209670	1210233	-	564	1292	1106	866	966	1304	37	12	41	28	11		1106.8	25.8		
gene2359	CP007536.1	1890857	1891450	-	594	299	292	268	277	287	35	24	12	12	46		284.6	25.8		
gene146	CP007536.1	138849	139355	+	507	430	465	304	268	593	37	25	19	27	20		412	25.6		
gene1185	CP007536.1	946356	947552	+	1197	2018	1765	1651	1628	1670	17	27	32	39	13		1746.4	25.6		
gene1482	CP007536.1	1186122	1187456	+	1335	2734	2467	2031	2550	2695	62	37	21	4	4		2495.4	25.6		
gene1620	CP007536.1	1301067	1301729	-	663	4525	4129	3289	3702	4420	34	19	21	49	5		4013	25.6		
gene1715	CP007536.1	1374784	1375620	-	837	355	364	408	435	406	41	16	35	23	13		393.6	25.6		
gene210	CP007536.1	182211	182678	+	468	2382	1800	1665	1860	2137	36	31	12	32	16		1968.8	25.4		
gene259	CP007536.1	216934	217764	-	831	3150	3040	2252	2530	3193	46	37	29	4	11		2833	25.4		
gene2550	CP007536.1	2036608	2037447	+	840	1327	1133	1012	1353	952	28	36	18	24	21		1155.4	25.4		
gene2977	CP007536.1	2368288	2369289	-	1002	2451	1867	1745	1912	1971	44	10	20	7	46		1989.2	25.4		
gene386	CP007536.1	316546	316806	-	261	10001	8891	7870	9361	9651	27	60	2	13	24		9154.8	25.2		
gene1386	CP007536.1	1107166	1107474	+	309	4904	5167	3975	3450	4702	16	22	50	6	32		4439.6	25.2		
gene2190	CP007536.1	1746923	1747729	-	807	2087	1809	1364	1517	2125	38	36	11	35	6		1780.4	25.2		
gene420	CP007536.1	335961	336485	+	525	99	73	62	462	32	39	1	22	27	36		145.6	25		
gene3119	CP007536.1	2475772	2476551	+	780	4264	3889	3245	3189	3792	16	32	34	17	26		3675.8	25		
gene1363	CP007536.1	1087973	1088896	-	924	1400	1122	1030	1205	1460	24	8	24	40	28		1243.4	24.8		
gene1441	CP007536.1	1154997	1155758	-	762	749	502	439	472	736	35	25	0	8	56		579.6	24.8		
gene1956	CP007536.1	1569516	1570154	-	639	2500	2092	1804	2119	2175	39	13	35	30	6		2138	24.6		
gene2615	CP007536.1	2089095	2090231	+	1137	201	171	137	115	165	51	13	15	18	26		157.8	24.6		
gene1761	CP007536.1	1414922	1415833	+	912	1477	1381	1136	1545	1429	30	33	13	14	32		1393.6	24.4		
gene3080	CP007536.1	2447963	2448445	+	483	6399	5387	5317	5696	6431	51	29	8	16	18		5846	24.4		
gene1596	CP007536.1	1278650	1279732	+	1083	12562	11275	9181	9325	12906	17	51	8	24	21		11049.8	24.2		
gene1000	CP007536.1	803668	804063	+	396	523	388	413	382	360	15	15	30	19	41		413.2	24		
gene1457	CP007536.1	1168173	1168949	-	777	2743	2143	1923	2163	2462	28	12	15	26	39		2286.8	24		
gene2976	CP007536.1	2367549	2368322	+	774	11041	8820	7488	7539	9576	7	43	7	30	33		8892.8	24		
gene212	CP007536.1	184034	185332	-	1299	528	508	444	520	510	18	13	30	28	30		502	23.8		
gene1546	CP007536.1	1238044	1238808	-	765	2074	1750	1731	2180	1716	13	30	9	41	26		1890.2	23.8		
gene2778	CP007536.1	2219301	2220167	-	867	4359	3770	3365	3509	4139	63	32	21	0	3		3828.4	23.8		
gene1428	CP007536.1	1140723	1141328	-	606	11796	11346	9475	10160	11637	37	28	5	24	24		10882.8	23.6		
gene1497	CP007536.1	1195265	1196701	-	1437	2807	2194	2121	2033	2775	18	33	34	16	17		2386	23.6		
gene1628	CP007536.1	1306979	1308634	-	1656	320	320	299	329	254	9	34	26	17	32		304.4	23.6		
gene1800	CP007536.1	1446396	1448297	-	1902	7587	6787	5957	5722	6786	20	12	14	32	40		6567.8	23.6		
gene822	CP007536.1	636235	638055	-	1821	1276	1056	1086	1096	1302	18	41	25	15	18		1163.2	23.4		
gene1598	CP007536.1	1280967	1281584	+	618	819	661	606	667	798	45	37	17	3	15		710.2	23.4		
gene1844	CP007536.1	1474305	1474940	+	636	297	247	283	231	236	17	16	15	35	34		258.8	23.4		
gene2236	CP007536.1	1783486	1784421	+	936	2109	1812	1583	1546	1840	41	7	10	14	45		1778	23.4		
gene354	CP007536.1	291360	291641	+	282	3204	2700	2390	2492	2583	20	34	12	36	14		2673.8	23.2		
gene1730	CP007536.1	1391343	1392404	-	1062	5188	4742	4215	4537	4557	21	20	11	14	50		4647.8	23.2		
gene2235	CP007536.1	1782044	1783489	+	1446	6368	5565	4918	4357	6034	21	19	28	11	37		5448.4	23.2		
gene1116	CP007536.1	897956	898597	+	642	499	401	398	431	394	20	11	9	46	29		424.6	23		
gene1883	CP007536.1	1509356	1509471	+	116	0	0	3	0	0	0	0	0	115	0		0.6	23		
gene1952	CP007536.1	1564633	1567107	+	2475	5985	5318	4624	4629	6018	17	13	11	42	32		5314.8	23		
gene188	CP007536.1	168215	168463	-	249	126	99	97	135	96	29	28	10	32	15		110.6	22.8		
gene523	CP007536.1	408896	409405	-	510	7754	6794	6195	6355	7841	20	12	36	7	39		6987.8	22.8		
gene698	CP007536.1	539437	540480	-	1044	4840	4337	3887	3829	4814	46	16	14	23	15		4341.4	22.8		
gene977	CP007536.1	777023	778225	+	1203	1333	1447	1366	1317	1218	30	34	22	15	13		1336.2	22.8		
gene2867	CP007536.1	2286625	2287281	-	657	1068	1064	841	1004	878	47	28	22	9	8		971	22.8		
gene2937	CP007536.1	2335493	2336146	+	654	2480	2331	1887	2104	2395	20	37	27	17	13		2239.4	22.8		
gene361	CP007536.1	297213	298508	-	1296	3238	2758	2516	2407	3125	33	9	8	15	48		2808.8	22.6		
gene815	CP007536.1	631645	632133	+	489	462	410	350	346	442	27	32	7	18	28		402	22.4		
gene881	CP007536.1	684788	685543	+	756	2513	2006	1921	1885	2360	12	14	48	17	21		2137	22.4		
gene1071	CP007536.1	854900	856858	-	1959	3054	2352	2288	2520	2788	9	32	14	43	14		2600.4	22.4		
gene2763	CP007536.1	2206247	2207287	+	1041	5059	4745	3798	3747	4842	27	22	34	12	17		4438.2	22.4		
gene308	CP007536.1	250340	250798	-	459	328	255	258	372	248	56	26	13	1	15		292.2	22.2		
gene345	CP007536.1	284518	285660	-	1143	2280	1872	1691	1698	2232	31	26	25	15	14		1954.6	22.2		
gene493	CP007536.1	387606	388040	-	435	1406	1226	966	1091	1302	28	22	23	19	19		1198.2	22.2		
gene657	CP007536.1	512111	512530	-	420	1241	1018	1006	1141	1010	25	5	48	24	9		1083.2	22.2		
gene875	CP007536.1	679005	679970	-	966	1205	1072	963	1313	1175	48	39	16	8	0		1145.6	22.2		
gene2443	CP007536.1	1952003	1952944	+	942	488	480	387	411	484	19	22	22	17	31		450	22.2		
gene2746	CP007536.1	2196172	2197020	-	849	634	541	463	683	583	12	8	6	12	73		580.8	22.2		
gene2925	CP007536.1	2326988	2327782	-	795	891	646	589	636	736	53	0	26	8	24		699.6	22.2		
gene1391	CP007536.1	1110045	1110542	-	498	5792	5023	3902	4355	5850	54	8	6	29	13		4984.4	22		
gene1896	CP007536.1	1521123	1521338	+	216	445	333	486	885	260	11	17	44	11	27		481.8	22		
gene2367	CP007536.1	1897390	1897695	+	306	5234	4695	3853	3791	5232	18	26	15	4	47		4561	22		
gene2936	CP007536.1	2334248	2335450	+	1203	1227	1022	928	1007	826	23	23	19	24	21		1002	22		
gene1197	CP007536.1	954479	955654	-	1176	2432	1991	1827	1982	2304	3	46	25	16	19		2107.2	21.8		
gene1541	CP007536.1	1235723	1236268	-	546	900	555	656	660	710	18	0	29	11	51		696.2	21.8		
gene1934	CP007536.1	1552056	1552127	+	72	5	6	6	5	4	13	20	16	21	39		5.2	21.8		
gene2336	CP007536.1	1872523	1874031	+	1509	83	73	59	89	110	35	38	11	11	14		82.8	21.8		
gene2801	CP007536.1	2239686	2240369	+	684	711	620	509	699	561	7	35	19	23	25		620	21.8		
gene32	CP007536.1	25381	26151	+	771	1781	1627	1263	1402	1614	23	21	16	12	36		1537.4	21.6		
gene152	CP007536.1	141266	142231	+	966	1524	1200	1182	1144	1617	53	44	3	1	7		1333.4	21.6		
gene239	CP007536.1	203471	204412	+	942	1249	1036	936	999	1157	37	15	22	11	23		1075.4	21.6		
gene819	CP007536.1	633988	634902	+	915	1038	968	808	834	933	40	8	16	21	23		916.2	21.6		
gene1258	CP007536.1	1000916	1001785	+	870	3616	3283	2907	3008	3432	10	20	27	31	20		3249.2	21.6		
gene1611	CP007536.1	1295076	1296548	+	1473	3748	3136	2666	3070	3248	28	16	20	20	24		3173.6	21.6		
gene1653	CP007536.1	1323600	1323932	+	333	2129	1816	1779	2311	1824	26	33	18	14	17		1971.8	21.6		
gene2090	CP007536.1	1664823	1665620	-	798	775	661	606	736	748	12	9	29	18	40		705.2	21.6		
gene2142	CP007536.1	1706578	1707699	-	1122	1932	1664	1592	1700	1430	13	29	17	32	17		1663.6	21.6		
gene443	CP007536.1	349559	350149	+	591	1546	1322	1167	1281	1287	4	10	24	11	58		1320.6	21.4		
gene893	CP007536.1	693743	695542	-	1800	1661	1548	1381	1453	1635	40	20	3	5	38		1535.6	21.2		
gene964	CP007536.1	749973	753335	+	3363	3925	3585	3409	3937	3753	37	11	36	13	9		3721.8	21.2		
gene980	CP007536.1	779247	779510	+	264	182	140	156	154	134	43	6	28	21	8		153.2	21.2		
gene1145	CP007536.1	914248	915201	-	954	597	470	258	444	404	14	32	36	0	24		434.6	21.2		
gene2287	CP007536.1	1821187	1821723	+	537	329	327	269	155	197	14	30	10	20	32		255.4	21.2		
gene2407	CP007536.1	1925457	1926302	+	846	1071	1037	863	1055	908	24	17	14	22	29		986.8	21.2		
gene2721	CP007536.1	2177330	2178049	-	720	733	839	705	728	685	28	18	9	8	43		738	21.2		
gene52	CP007536.1	41749	42681	-	933	3149	2851	2452	2690	3164	19	21	7	21	37		2861.2	21		
gene314	CP007536.1	255846	256991	-	1146	3612	3784	2857	3090	3359	32	6	14	10	43		3340.4	21		
gene394	CP007536.1	320560	321180	-	621	3806	3145	3079	3009	3527	13	38	33	18	3		3313.2	21		
gene396	CP007536.1	322472	322966	+	495	1450	1349	1346	1471	1399	33	29	14	4	25		1403	21		
gene707	CP007536.1	544520	545647	-	1128	15217	12871	10092	10365	18060	27	25	9	21	23		13321	21		
gene831	CP007536.1	643311	643706	+	396	1442	1195	1316	1497	1250	20	36	0	20	29		1340	21		
gene981	CP007536.1	779857	780732	+	876	434	448	435	480	486	4	27	6	28	40		456.6	21		
gene1594	CP007536.1	1276992	1278170	+	1179	4229	3692	3159	3723	4083	14	9	10	37	35		3777.2	21		
gene2531	CP007536.1	2023637	2024758	+	1122	5043	4217	3732	3919	4274	12	30	5	17	41		4237	21		
gene6	CP007536.1	5567	6820	-	1254	4090	3732	3269	3402	3804	48	21	4	12	19		3659.4	20.8		
gene24	CP007536.1	20489	21178	+	690	1725	1521	1280	1426	1716	34	9	21	13	27		1533.6	20.8		
gene169	CP007536.1	154226	154912	+	687	2472	2145	1998	2241	2012	28	9	10	25	32		2173.6	20.8		
gene1034	CP007536.1	824579	824866	-	288	2133	1661	1720	1888	1726	20	0	21	26	37		1825.6	20.8		
gene1202	CP007536.1	959118	959849	-	732	10407	8832	7194	7840	10484	25	2	25	24	28		8951.4	20.8		
gene1742	CP007536.1	1400688	1401146	+	459	5234	3915	3884	4017	4807	38	19	32	5	10		4371.4	20.8		
gene1839	CP007536.1	1471602	1471961	-	360	1245	1115	1125	1158	1304	22	5	27	6	44		1189.4	20.8		
gene2412	CP007536.1	1930312	1930917	+	606	1067	901	839	929	923	31	30	6	23	14		931.8	20.8		
gene813	CP007536.1	630366	630866	-	501	1177	1101	973	956	1000	46	20	27	6	4		1041.4	20.6		
gene904	CP007536.1	702274	703320	+	1047	2579	2138	2062	2098	2777	38	26	2	11	26		2330.8	20.6		
gene1491	CP007536.1	1192327	1192740	+	414	517	508	408	542	508	11	27	14	38	13		496.6	20.6		
gene2514	CP007536.1	2009695	2010555	+	861	261	189	184	331	136	17	11	38	15	22		220.2	20.6		
gene3068	CP007536.1	2439292	2440257	+	966	1218	1254	1271	1437	1166	25	26	21	10	21		1269.2	20.6		
gene917	CP007536.1	717055	717819	-	765	342	207	242	256	241	41	17	8	21	15		257.6	20.4		
gene1625	CP007536.1	1304648	1305973	-	1326	2212	1678	1721	1775	2071	24	8	16	27	27		1891.4	20.4		
gene1853	CP007536.1	1485346	1487055	-	1710	8038	7429	6871	7767	7925	11	35	14	32	10		7606	20.4		
gene2406	CP007536.1	1924249	1925301	-	1053	996	1055	831	862	816	15	8	23	18	38		912	20.4		
gene2424	CP007536.1	1940607	1940876	-	270	4120	3315	2697	2886	3688	23	29	8	23	19		3341.2	20.4		
gene2668	CP007536.1	2124660	2125922	-	1263	7377	6165	5504	5410	6597	35	2	28	21	16		6210.6	20.4		
gene2902	CP007536.1	2311592	2311861	+	270	11318	9845	10068	10863	10233	10	22	25	25	20		10465.4	20.4		
gene222	CP007536.1	189893	191737	-	1845	839	679	737	789	677	22	19	30	11	19		744.2	20.2		
gene618	CP007536.1	478113	479132	+	1020	698	580	492	683	617	41	15	10	16	19		614	20.2		
gene770	CP007536.1	598641	600281	-	1641	711	598	506	633	526	0	19	23	23	36		594.8	20.2		
gene1204	CP007536.1	960143	960856	+	714	1001	780	717	917	843	14	23	23	12	29		851.6	20.2		
gene1796	CP007536.1	1441767	1444457	+	2691	5623	4862	4530	5091	5274	26	10	18	6	41		5076	20.2		
gene2758	CP007536.1	2203965	2204578	+	614	773	698	670	772	698	33	12	5	10	41		722.2	20.2		
gene1551	CP007536.1	1242652	1244250	-	1599	3553	2960	2631	2575	3100	41	0	21	24	14		2963.8	20		
gene1599	CP007536.1	1281579	1282730	-	1152	340	355	308	343	381	24	45	14	7	10		345.4	20		
gene2513	CP007536.1	2008288	2009436	-	1149	2019	1664	1572	1939	1974	28	22	27	9	14		1833.6	20		
gene15	CP007536.1	13959	15143	+	1185	1398	1167	1065	1199	1172	38	10	32	1	18		1200.2	19.8		
gene141	CP007536.1	134843	136189	-	1347	7147	5953	5289	5338	6242	34	22	13	13	17		5993.8	19.8		
gene1206	CP007536.1	961248	961826	-	579	2593	2076	2273	2611	2287	23	50	2	2	22		2368	19.8		
gene1726	CP007536.1	1387029	1387982	-	954	3393	3003	2737	2459	3544	37	23	7	28	4		3027.2	19.8		
gene2224	CP007536.1	1774735	1775703	+	969	831	689	607	616	812	39	16	8	6	30		711	19.8		
gene2294	CP007536.1	1829603	1830154	+	552	1317	1257	962	739	1133	37	9	4	49	0		1081.6	19.8		
gene3100	CP007536.1	2464273	2465250	-	978	4593	3927	3681	3560	4012	44	12	13	16	14		3954.6	19.8		
