# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-a" "./GCA_000698785.1_ASM69878v1_genomic.gff" "-t" "gene" "-g" "ID" "-T" "8" "-o" "./counts_oxi.txt" "-s" "0" "./Nvie_2oxi_1_mRNA_sorted.bam" "./Nvie_2oxi_2_mRNA_sorted.bam" "./Nvie_2oxi_3_mRNA_sorted.bam" "./Nvie_2oxi_4_mRNA_sorted.bam" "./Nvie_2oxi_5_mRNA_sorted.bam" "./Nvie_ctrl_1_mRNA_sorted.bam" "./Nvie_ctrl_2_mRNA_sorted.bam" "./Nvie_ctrl_3_mRNA_sorted.bam" "./Nvie_ctrl_4_mRNA_sorted.bam" "./Nvie_ctrl_5_mRNA_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Nvie_2oxi_1_mRNA_sorted.bam	./Nvie_2oxi_2_mRNA_sorted.bam	./Nvie_2oxi_3_mRNA_sorted.bam	./Nvie_2oxi_4_mRNA_sorted.bam	./Nvie_2oxi_5_mRNA_sorted.bam	./Nvie_ctrl_1_mRNA_sorted.bam	./Nvie_ctrl_2_mRNA_sorted.bam	./Nvie_ctrl_3_mRNA_sorted.bam	./Nvie_ctrl_4_mRNA_sorted.bam	./Nvie_ctrl_5_mRNA_sorted.bam
gene725	CP007536.1	563781	564824	-	1044	1387	1991	1063	1061	698	13218	7948	9568	5442	9313
gene726	CP007536.1	564870	565013	-	144	0	0	0	0	0	90	113	173	47	45
gene727	CP007536.1	565089	565409	+	321	0	0	0	0	0	124	82	86	52	46
gene728	CP007536.1	565435	566739	+	1305	1530	1163	1070	792	2786	14331	7671	7958	3734	6601
gene729	CP007536.1	566795	566962	+	168	4	0	33	48	0	790	934	905	404	395
gene730	CP007536.1	566952	567149	-	198	52	89	73	90	411	1825	3336	2443	1438	2014
gene731	CP007536.1	567238	568266	-	1029	7651	6381	3869	5048	7555	18318	16188	23798	15014	19072
gene732	CP007536.1	568263	568625	-	363	3043	3304	3172	2103	1921	3293	2975	6051	2718	3087
gene733	CP007536.1	568683	569003	-	321	0	0	0	0	0	346	490	266	179	200
gene734	CP007536.1	569061	569453	-	393	142	98	271	281	248	3165	3507	2381	1144	1325
gene735	CP007536.1	569485	570042	-	558	186	356	94	0	562	4292	2724	4026	1658	2899
gene736	CP007536.1	570082	570825	-	744	132	388	0	0	0	8230	4987	6460	3844	5854
gene737	CP007536.1	570909	571778	-	870	204	56	30	38	0	308	276	609	245	199
gene738	CP007536.1	571949	572452	+	504	694	978	494	130	275	764	893	725	279	366
gene739	CP007536.1	572495	572569	+	75	27	0	0	0	0	85	115	79	41	52
gene740	CP007536.1	574152	574247	+	96	0	0	0	0	0	16	42	4	6	6
gene741	CP007536.1	574530	575000	-	471	10	0	0	110	200	924	1195	1174	700	734
gene742	CP007536.1	575040	576128	-	1089	92	62	76	0	0	2827	2897	3789	2218	1942
gene743	CP007536.1	576264	577094	-	831	110	0	218	0	0	218	112	104	45	103
gene744	CP007536.1	577091	578770	-	1680	30	0	0	0	84	440	346	413	186	308
gene745	CP007536.1	578771	580297	-	1527	10	0	78	0	0	715	475	455	232	442
gene746	CP007536.1	580299	580973	-	675	0	50	26	0	0	454	242	205	87	220
gene747	CP007536.1	580996	581940	-	945	0	0	0	0	0	244	125	149	44	115
gene748	CP007536.1	581940	584006	-	2067	78	258	222	20	168	1109	378	568	238	582
gene749	CP007536.1	584182	584784	+	603	0	0	0	0	0	251	238	223	91	244
gene750	CP007536.1	585236	585508	+	273	0	192	0	0	45	304	432	352	164	159
gene751	CP007536.1	585595	586047	-	453	982	921	284	236	322	811	1235	2055	953	943
gene752	CP007536.1	586303	587127	-	825	46	128	98	52	0	1294	1005	2044	1109	1068
gene753	CP007536.1	587124	588128	-	1005	516	816	356	902	1037	2495	1919	3379	1855	2217
gene754	CP007536.1	588446	589324	+	879	0	32	60	0	116	802	1165	1458	557	625
gene755	CP007536.1	589557	590354	+	798	0	0	0	0	0	44	82	75	94	68
gene756	CP007536.1	590429	591202	-	774	69	0	0	0	100	1464	2338	2407	983	819
gene757	CP007536.1	591356	592042	-	687	61	0	0	0	0	70	100	88	39	92
gene758	CP007536.1	592126	592317	-	192	0	0	0	0	0	171	129	216	90	102
gene759	CP007536.1	592579	592758	-	180	158	0	0	70	0	188	207	275	233	190
gene760	CP007536.1	592878	593036	-	159	0	0	0	0	0	14	44	4	0	8
gene761	CP007536.1	593102	593626	+	525	88	0	22	0	102	408	491	727	256	439
gene762	CP007536.1	593653	594459	-	807	58	190	258	0	162	3388	1943	2284	843	1782
gene763	CP007536.1	594705	595130	-	426	0	0	46	66	0	136	489	270	81	187
gene764	CP007536.1	595411	595920	-	510	615	936	1211	1287	632	1461	1379	1669	830	1054
gene765	CP007536.1	595984	596094	+	111	0	0	0	0	0	0	0	0	0	0
gene766	CP007536.1	596176	596568	+	393	0	0	0	0	0	475	394	649	409	634
gene767	CP007536.1	596573	596797	+	225	0	0	0	0	0	40	150	96	71	87
gene768	CP007536.1	596851	597195	+	345	39	133	82	0	0	2086	1864	2694	1409	1891
gene769	CP007536.1	597317	598570	+	1254	1565	1623	2041	1766	214	2049	1605	3002	1847	2244
gene770	CP007536.1	598641	600281	-	1641	188	108	14	0	0	1420	967	1513	893	1141
gene771	CP007536.1	600380	600652	-	273	124	30	208	0	82	3727	5041	5191	2483	2917
gene772	CP007536.1	600750	600941	-	192	10	0	0	0	0	66	138	68	25	36
gene773	CP007536.1	600898	601035	+	138	0	0	0	0	0	0	0	0	0	0
gene774	CP007536.1	601039	601188	+	150	0	0	0	0	0	2	18	26	2	0
gene775	CP007536.1	601400	602692	+	1293	50	0	106	38	0	1358	594	476	227	399
gene776	CP007536.1	602770	602967	+	198	0	0	0	0	0	30	44	27	22	1
gene777	CP007536.1	603058	603134	+	77	0	0	0	0	0	13	14	20	9	20
gene778	CP007536.1	603232	603459	-	228	0	0	0	0	0	44	4	40	22	14
gene779	CP007536.1	603520	604611	+	1092	40	0	20	0	0	398	640	548	212	147
gene780	CP007536.1	604920	606740	+	1821	0	0	0	0	0	693	930	1259	595	565
gene781	CP007536.1	606783	606866	+	84	0	0	0	0	0	0	63	0	0	6
gene782	CP007536.1	606873	607271	+	399	0	0	0	0	0	344	159	218	57	232
gene783	CP007536.1	607323	608150	-	828	105	118	54	0	0	1473	622	1121	598	1009
gene784	CP007536.1	608151	608459	-	309	0	64	0	0	0	1520	823	1208	800	980
gene785	CP007536.1	608549	609106	+	558	0	0	195	0	0	1130	1055	938	301	516
gene786	CP007536.1	609098	609445	-	348	0	34	0	0	0	328	297	318	150	170
gene787	CP007536.1	609418	610794	-	1377	1135	903	280	325	553	9250	6039	6761	3525	6862
gene788	CP007536.1	610836	611426	-	591	16	0	0	0	0	2027	1260	1380	723	1218
gene789	CP007536.1	611431	612852	-	1422	1497	2327	1283	1163	2088	12343	8154	9339	4206	7810
gene790	CP007536.1	612949	613608	+	660	2283	1443	1692	1214	1249	18259	12721	12922	7318	10813
gene791	CP007536.1	613622	615079	-	1458	177	124	6	459	234	5583	4169	4073	2080	3665
gene792	CP007536.1	615169	615270	+	102	0	0	0	0	0	36	11	21	11	28
gene793	CP007536.1	615255	615794	-	540	0	0	0	0	0	160	245	248	55	67
gene794	CP007536.1	616008	616295	+	288	0	0	0	0	0	106	448	326	119	78
gene795	CP007536.1	616283	616504	+	222	0	0	0	0	0	14	20	39	26	39
gene796	CP007536.1	616576	617154	+	579	1945	1288	1053	320	222	1353	1306	2439	1500	1264
gene797	CP007536.1	617191	618894	-	1704	8804	10762	14865	10540	16124	107944	106714	104455	60796	72538
gene798	CP007536.1	619107	619862	+	756	387	1272	325	0	256	2848	2602	3037	1277	2195
gene799	CP007536.1	619899	620360	+	462	4350	2761	2677	3220	2396	6729	7555	9890	4588	5405
gene800	CP007536.1	620549	621004	+	456	249	51	195	60	68	1023	1480	1200	643	1007
gene801	CP007536.1	620902	622068	+	1167	702	220	170	345	309	1959	1535	1954	863	1164
gene802	CP007536.1	622021	622383	-	363	0	0	0	13	9	353	399	436	199	264
gene803	CP007536.1	622414	623634	-	1221	563	400	200	532	276	8805	7053	10173	4808	7758
gene804	CP007536.1	623717	624739	+	1023	683	764	473	242	1377	5858	3659	4234	1683	3258
gene805	CP007536.1	624920	625912	+	993	667	1062	1116	1300	1168	4086	2033	2683	1199	2166
gene806	CP007536.1	625909	626427	-	519	610	79	581	56	132	2850	3335	2934	1438	2111
gene807	CP007536.1	626437	626706	-	270	0	0	0	0	0	168	187	175	74	132
gene808	CP007536.1	626712	627689	-	978	160	187	128	0	54	8234	5720	5682	3421	6320
gene809	CP007536.1	627668	628585	-	918	512	178	84	78	423	11284	4904	5279	2973	6187
gene810	CP007536.1	628629	629315	-	687	0	70	0	0	48	1152	1045	859	345	569
gene811	CP007536.1	629312	629644	-	333	74	0	0	0	0	855	1078	707	437	612
gene812	CP007536.1	629734	630261	-	528	0	0	0	0	0	690	633	624	344	257
gene813	CP007536.1	630366	630866	-	501	157	36	74	335	20	2187	1837	2025	1225	1359
gene814	CP007536.1	631044	631604	+	561	0	0	14	0	0	1001	857	684	275	583
gene815	CP007536.1	631645	632133	+	489	44	0	0	244	145	597	343	325	139	184
gene816	CP007536.1	632170	633150	+	981	48	24	58	84	0	3822	2819	2715	1367	2567
gene817	CP007536.1	633163	633645	+	483	0	0	0	0	0	729	838	975	480	505
gene818	CP007536.1	633688	633939	+	252	0	0	0	0	0	462	442	505	254	204
gene819	CP007536.1	633988	634902	+	915	46	210	97	0	274	2140	1210	1361	675	1104
gene820	CP007536.1	634896	635723	-	828	42	0	64	0	0	816	762	738	404	391
gene821	CP007536.1	635772	636230	+	459	587	199	322	667	88	1037	901	1148	545	576
gene822	CP007536.1	636235	638055	-	1821	199	174	311	359	359	2504	1775	2367	1335	2227
gene823	CP007536.1	638174	638515	+	342	0	30	28	0	0	1072	2162	2856	1495	1259
gene824	CP007536.1	638583	639281	+	699	1496	1592	529	210	38	1335	2062	2818	1668	1540
gene825	CP007536.1	639317	640213	+	897	3120	4102	2558	1617	2691	5474	4319	5136	2354	4337
gene826	CP007536.1	640210	640416	-	207	18	0	0	124	0	370	282	287	118	99
gene827	CP007536.1	640418	641599	-	1182	6	2	0	0	110	3195	3220	2741	1510	2916
gene828	CP007536.1	641614	641868	-	255	92	0	56	94	168	517	415	383	258	261
gene829	CP007536.1	641895	642164	-	270	50	0	0	163	0	429	356	342	234	330
gene830	CP007536.1	642212	643156	-	945	635	302	675	706	1326	20598	15720	13289	6176	10454
gene831	CP007536.1	643311	643706	+	396	237	38	60	54	83	956	1954	1828	992	819
gene832	CP007536.1	643713	644441	-	729	143	164	106	0	386	1474	1061	2030	1066	1256
gene833	CP007536.1	644528	645220	+	693	194	0	50	88	220	393	755	782	395	310
gene834	CP007536.1	645166	645921	+	756	287	325	295	0	192	884	759	1232	633	806
gene835	CP007536.1	645926	646390	+	465	0	0	0	0	0	142	246	303	155	284
gene836	CP007536.1	646479	646829	-	351	0	0	0	0	0	37	227	186	87	11
gene837	CP007536.1	647174	647713	-	540	60	132	96	0	370	459	853	1034	712	483
gene838	CP007536.1	647835	647911	-	77	0	0	0	0	0	17	15	4	6	2
gene839	CP007536.1	647897	647965	-	69	0	0	0	0	0	0	0	0	0	0
gene840	CP007536.1	647982	648431	+	450	130	6	114	0	3	224	430	236	99	256
gene841	CP007536.1	648498	650081	+	1584	1653	1735	1404	1172	3976	39216	34223	35801	20646	29621
gene842	CP007536.1	650088	650414	-	327	24	0	0	0	1	2791	2306	2092	1156	2133
gene843	CP007536.1	650478	651320	-	843	1716	2145	1994	1495	3157	30566	14650	15678	10280	16329
gene844	CP007536.1	651440	651712	+	273	1004	1121	595	471	410	1061	796	1031	446	874
gene845	CP007536.1	651719	652216	-	498	207	60	26	0	68	1595	1328	1242	542	1075
gene846	CP007536.1	652359	652517	+	159	0	0	0	0	0	0	10	0	0	0
gene847	CP007536.1	652427	652960	+	534	12	0	0	0	0	934	1378	2100	1199	1043
gene848	CP007536.1	653073	655277	+	2205	1679	1231	1615	1244	420	7754	6596	8941	4682	6425
gene849	CP007536.1	655314	656126	-	813	148	274	60	42	0	335	142	437	181	180
gene850	CP007536.1	656075	656203	-	129	0	0	0	0	14	58	24	41	2	30
gene851	CP007536.1	656285	657154	-	870	102	0	0	0	0	9405	5889	5177	2679	4614
gene852	CP007536.1	657162	658988	-	1827	539	602	410	504	1512	12570	7597	8411	4177	8207
gene853	CP007536.1	658903	659910	-	1008	141	210	166	84	160	18210	8856	9073	5038	9405
gene854	CP007536.1	659907	660995	-	1089	4	84	74	0	0	3730	3587	4267	2102	3128
gene855	CP007536.1	661002	661784	-	783	50	0	76	0	0	4771	3332	4306	2859	4571
gene856	CP007536.1	661836	662171	-	336	257	314	220	0	354	774	638	880	547	540
gene857	CP007536.1	662520	663644	+	1125	6073	5577	4238	2361	2301	7934	8890	10233	4237	5843
gene858	CP007536.1	663676	664698	+	1023	163	40	68	0	68	10979	6261	6015	3715	5838
gene859	CP007536.1	665942	666241	+	300	0	0	0	0	0	12	2	14	12	0
gene860	CP007536.1	666542	667363	+	822	4335	3612	3746	1887	5734	18695	12587	12245	5391	9255
gene861	CP007536.1	667575	667658	+	84	0	0	0	0	0	12	12	10	8	25
gene862	CP007536.1	667698	668423	+	726	0	0	0	0	116	781	720	680	290	207
gene863	CP007536.1	668617	669375	+	759	20	0	0	0	0	237	196	222	64	88
gene864	CP007536.1	669506	670462	+	957	1313	1062	431	414	293	17375	12059	11536	4963	7979
gene865	CP007536.1	670472	671476	-	1005	5420	3592	4571	3223	3108	22429	19954	25327	12889	17034
gene866	CP007536.1	671481	671735	-	255	135	130	18	84	18	800	1384	1207	615	425
gene867	CP007536.1	671965	672813	+	849	16	0	0	0	0	310	480	981	628	676
gene868	CP007536.1	672843	673616	-	774	50	104	614	298	204	3431	2377	2470	1000	2110
gene869	CP007536.1	673651	674325	-	675	184	279	243	184	290	3814	3668	2682	1234	2265
gene870	CP007536.1	674391	675803	-	1413	356	268	50	284	496	6531	4448	4919	2622	3996
gene871	CP007536.1	675787	677469	-	1683	2612	3157	3088	2292	2142	20127	14667	15385	8724	13114
gene872	CP007536.1	677498	677620	-	123	208	117	59	66	457	758	1838	2041	376	346
gene873	CP007536.1	677833	678468	+	636	87	63	122	68	0	6743	7082	4825	2068	3314
gene874	CP007536.1	678481	679008	+	528	2715	1511	2932	1032	2054	30869	16791	21224	12125	21105
gene875	CP007536.1	679005	679970	-	966	44	0	16	230	220	1568	1220	1351	514	694
gene876	CP007536.1	680131	681897	+	1767	3252	3330	3080	1309	4094	10367	11051	12638	8220	9730
gene877	CP007536.1	681966	682616	-	651	17243	12177	15475	11245	10564	32508	32892	37537	24042	28391
gene878	CP007536.1	682767	683222	+	456	309	565	653	233	610	5826	4494	5921	3574	4514
gene879	CP007536.1	683219	684316	-	1098	1639	1981	1414	987	1527	11003	6646	8451	4366	7509
gene880	CP007536.1	684369	684728	+	360	66	80	127	0	0	960	818	899	314	572
gene881	CP007536.1	684788	685543	+	756	70	43	296	0	80	4639	3300	3100	1118	2760
gene882	CP007536.1	685509	686507	+	999	182	560	45	0	186	4225	2314	2924	1501	2263
gene883	CP007536.1	686508	687368	-	861	2565	2749	3266	1850	2565	13655	7925	7698	4111	7192
gene884	CP007536.1	687481	688344	+	864	288	368	176	495	170	4114	3444	5060	2685	3770
gene885	CP007536.1	688341	688631	-	291	88	34	0	0	0	597	596	459	263	289
gene886	CP007536.1	688665	688883	+	219	0	0	0	0	0	24	62	39	15	8
gene887	CP007536.1	688923	691376	+	2454	3540	2656	2962	1922	3025	4146	3920	5075	2323	3222
gene888	CP007536.1	691377	691550	-	174	0	0	0	0	0	325	576	246	125	244
gene889	CP007536.1	691643	692338	+	696	616	152	244	1	36	1588	1233	1857	715	1002
gene890	CP007536.1	692513	692932	-	420	0	0	0	0	0	433	322	333	166	185
gene891	CP007536.1	692966	693160	-	195	0	0	0	0	0	54	145	158	67	31
gene892	CP007536.1	693384	693692	-	309	1298	1433	1090	850	1746	2737	1910	2057	1361	2266
gene893	CP007536.1	693743	695542	-	1800	412	230	161	1190	502	3667	2634	3339	2424	3955
gene894	CP007536.1	695636	695953	+	318	38	60	0	0	0	1269	876	1050	373	752
gene895	CP007536.1	695946	696359	-	414	12	46	16	4	0	2732	1532	1486	681	1286
gene896	CP007536.1	696317	696430	+	114	0	0	0	0	0	0	0	0	0	0
gene897	CP007536.1	696453	696866	+	414	122	16	174	166	160	6996	5516	5514	2292	3617
gene898	CP007536.1	696949	698352	-	1404	1679	1390	814	225	166	2356	2285	3211	1897	1933
gene899	CP007536.1	698404	698508	+	105	0	0	0	0	0	17	13	7	3	0
gene900	CP007536.1	698505	699335	-	831	30	38	0	0	0	2482	2022	2407	1234	2031
gene901	CP007536.1	699386	699613	-	228	138	119	242	228	40	10236	5472	6509	2472	3649
gene902	CP007536.1	699667	700110	-	444	738	650	575	320	420	4342	3858	4357	2066	2693
gene903	CP007536.1	700410	702134	+	1725	398	336	343	272	217	847	665	861	429	451
gene904	CP007536.1	702274	703320	+	1047	466	144	354	450	519	5575	2873	3734	1661	3011
gene905	CP007536.1	703354	704199	+	846	604	108	558	501	250	12614	8588	8681	4734	7252
gene906	CP007536.1	704196	704633	-	438	0	0	0	0	0	167	113	92	49	68
gene907	CP007536.1	704808	706496	+	1689	2198	1221	1718	2113	664	17696	9407	14493	7231	12864
gene908	CP007536.1	706500	706997	+	498	0	0	0	0	0	215	485	282	116	166
gene909	CP007536.1	706994	708502	+	1509	588	514	780	832	724	12427	9934	12859	6568	9362
gene910	CP007536.1	708539	709564	+	1026	70	246	34	228	186	3450	2520	2926	1470	1996
gene911	CP007536.1	709574	709948	-	375	2	120	96	0	0	841	815	872	505	645
gene912	CP007536.1	710121	710930	+	810	54	0	0	0	0	811	817	917	421	658
gene913	CP007536.1	711020	711103	+	84	0	0	0	0	0	42	20	45	56	59
gene914	CP007536.1	711159	712385	+	1227	1832	2307	1600	1868	3477	18356	10985	11780	5584	11216
gene915	CP007536.1	712594	715662	+	3069	2158	2958	2137	2761	3800	24285	15971	18933	9356	16196
gene916	CP007536.1	716001	717038	+	1038	6	0	154	128	504	269	279	260	159	313
gene917	CP007536.1	717055	717819	-	765	164	146	184	198	200	557	603	648	365	414
gene918	CP007536.1	717872	718180	+	309	13	0	0	0	0	118	163	174	44	71
gene919	CP007536.1	718095	719516	+	1422	314	652	416	0	414	6648	3370	4211	2199	4341
gene920	CP007536.1	719513	719983	-	471	146	232	130	199	228	1688	1454	1297	629	879
gene921	CP007536.1	720073	720936	-	864	938	1377	890	1459	2069	11691	8661	7261	3071	5432
gene922	CP007536.1	721041	721502	+	462	494	240	112	426	48	1427	2265	2093	1225	1647
gene923	CP007536.1	721505	722338	-	834	2425	1194	1371	729	1028	3775	3666	5509	3041	3981
gene924	CP007536.1	722388	723602	-	1215	329	359	370	58	308	7838	5568	6708	3743	6498
gene925	CP007536.1	723641	724231	-	591	5262	4311	3891	2231	4433	13020	9372	11533	6392	9706
gene926	CP007536.1	724269	724439	-	171	72	156	76	70	147	7661	4610	5291	1961	3551
gene927	CP007536.1	724461	724691	-	231	2	0	16	8	0	1166	779	928	609	1016
gene928	CP007536.1	724746	725456	-	711	128	156	192	108	0	4556	1829	2644	1351	2327
gene929	CP007536.1	725489	726415	-	927	323	354	52	314	272	8031	4614	4288	2062	3723
gene930	CP007536.1	726541	727377	+	837	4	36	0	0	54	349	372	450	195	477
gene931	CP007536.1	727522	727668	+	147	0	0	0	0	0	81	106	139	57	46
gene932	CP007536.1	727934	728227	-	294	86	0	30	0	2	2657	2779	2989	1356	1899
gene933	CP007536.1	728169	728489	+	321	26	68	0	0	0	343	311	292	156	161
gene934	CP007536.1	728635	729099	-	465	20	208	18	161	96	588	806	715	169	255
gene935	CP007536.1	729188	729502	-	315	54	0	0	0	0	319	400	525	235	238
gene936	CP007536.1	729702	730142	+	441	0	0	0	0	0	72	74	55	54	42
gene937	CP007536.1	730193	730579	+	387	0	0	0	0	0	44	22	83	25	38
gene938	CP007536.1	730635	731021	+	387	0	0	0	284	0	130	86	164	31	82
gene939	CP007536.1	731049	731255	+	207	0	0	0	0	0	28	30	17	12	0
gene940	CP007536.1	731308	731622	+	315	0	0	0	0	0	66	17	63	34	4
gene941	CP007536.1	731628	732053	+	426	0	0	0	0	0	14	0	0	12	14
gene942	CP007536.1	732135	733367	+	1233	2194	2929	1994	1079	709	1565	1881	3466	2610	2137
gene943	CP007536.1	733440	734447	+	1008	0	38	0	0	0	486	700	1287	675	566
gene944	CP007536.1	734444	735265	+	822	0	0	0	0	0	347	424	396	248	249
gene945	CP007536.1	735322	736428	-	1107	1135	1408	1002	1153	1599	2751	2002	2464	1545	2008
gene946	CP007536.1	736586	737257	+	672	34	0	0	0	0	321	240	286	150	257
gene947	CP007536.1	737294	738949	-	1656	0	0	0	0	0	449	639	949	495	488
gene948	CP007536.1	739361	740308	+	948	0	0	0	0	0	504	585	738	405	326
gene949	CP007536.1	740305	740913	+	609	4	0	0	0	0	189	94	269	86	92
gene950	CP007536.1	740950	741282	+	333	0	0	0	0	0	98	33	64	64	39
gene951	CP007536.1	741286	741438	-	153	0	0	0	0	0	8	10	0	4	0
gene952	CP007536.1	741578	741925	+	348	0	0	0	0	0	89	59	59	42	20
gene953	CP007536.1	742136	742300	+	165	0	0	0	0	0	50	25	28	14	17
gene954	CP007536.1	742392	742979	+	588	975	1024	948	1050	328	680	813	1289	544	639
gene955	CP007536.1	743229	744218	+	990	0	0	0	0	0	560	933	830	460	640
gene956	CP007536.1	744247	744423	-	177	0	0	0	0	0	0	16	20	0	0
gene957	CP007536.1	744404	744571	-	168	0	0	0	0	0	24	24	25	8	39
gene958	CP007536.1	745201	745434	-	234	0	0	0	0	0	75	56	73	40	86
gene959	CP007536.1	745659	745787	+	129	0	0	0	0	0	183	141	97	28	78
gene960	CP007536.1	745806	746006	-	201	0	0	0	0	0	22	14	55	16	20
gene961	CP007536.1	746474	747076	+	603	118	36	86	0	0	2808	2492	3679	2528	2773
gene962	CP007536.1	747079	749397	+	2319	193	198	174	134	0	6971	7845	9346	6119	6925
gene963	CP007536.1	749737	749961	+	225	500	150	412	278	539	823	2041	1392	301	557
gene964	CP007536.1	749973	753335	+	3363	1002	360	1243	254	1027	8362	8515	10602	6403	7436
gene965	CP007536.1	753332	753793	+	462	104	0	0	0	0	1162	1525	1650	1090	1401
gene966	CP007536.1	753895	754440	+	546	0	0	0	0	141	1329	1093	1267	547	990
gene967	CP007536.1	754404	755471	+	1068	62	38	0	0	0	644	799	846	400	426
gene968	CP007536.1	755477	756748	+	1272	0	14	0	0	0	2258	1887	2122	1201	1319
gene969	CP007536.1	756904	760950	-	4047	78	94	16	316	0	5309	4744	5604	3013	4353
gene970	CP007536.1	761062	764400	+	3339	78	60	0	0	0	3491	3410	3618	1940	2912
gene971	CP007536.1	764538	768689	+	4152	22	11	54	0	0	7373	6256	5564	3062	4181
gene972	CP007536.1	768886	771900	+	3015	36	74	20	124	0	8565	8418	8470	4438	6509
gene973	CP007536.1	771957	773324	+	1368	86	0	0	0	0	2216	2958	2995	1685	2153
gene974	CP007536.1	773655	774632	-	978	0	0	0	0	0	749	720	632	358	362
gene975	CP007536.1	774638	775744	-	1107	66	0	31	2	81	1297	1792	1934	967	1437
gene976	CP007536.1	776139	776681	+	543	0	70	0	0	0	1684	1639	2204	991	1118
gene977	CP007536.1	777023	778225	+	1203	88	78	72	0	0	3418	3794	4046	3071	2736
gene978	CP007536.1	778242	778532	+	291	0	0	0	0	0	265	330	356	272	237
gene979	CP007536.1	778755	779171	+	417	0	0	0	0	0	28	20	40	25	45
gene980	CP007536.1	779247	779510	+	264	53	82	26	0	0	235	548	301	230	140
gene981	CP007536.1	779857	780732	+	876	240	135	196	460	513	938	993	1478	1038	1168
gene982	CP007536.1	780716	781825	+	1110	39	74	122	0	0	354	526	622	451	254
gene983	CP007536.1	781919	782371	+	453	2426	1294	1465	1781	472	2849	2509	3166	2266	2161
gene984	CP007536.1	782454	782984	+	531	128	0	56	0	0	458	689	561	401	480
gene985	CP007536.1	782988	788102	+	5115	776	244	921	12	1038	4785	4782	5363	3583	3953
gene986	CP007536.1	788189	789226	-	1038	0	0	0	0	0	956	1135	1109	676	843
gene987	CP007536.1	789365	790039	-	675	0	0	38	0	0	1129	1145	1098	548	534
gene988	CP007536.1	790127	792391	-	2265	52	0	86	0	0	743	1050	982	543	516
gene989	CP007536.1	792477	794066	+	1590	210	14	182	98	46	949	911	1228	1014	999
gene990	CP007536.1	794171	794278	-	108	0	0	0	0	0	34	68	67	56	61
gene991	CP007536.1	794342	794650	+	309	0	0	0	0	0	6	82	72	8	55
gene992	CP007536.1	794730	796880	+	2151	52	156	0	0	70	783	655	939	654	679
gene993	CP007536.1	797014	798837	+	1824	106	0	0	0	0	347	334	396	165	299
gene994	CP007536.1	798856	799596	-	741	21	20	140	0	0	355	695	601	383	397
gene995	CP007536.1	799620	800033	-	414	0	0	0	0	0	166	407	349	116	166
gene996	CP007536.1	800023	800301	-	279	26	0	80	70	204	151	239	293	123	137
gene997	CP007536.1	800419	800676	+	258	0	0	0	0	0	78	88	50	37	24
gene998	CP007536.1	800900	801601	+	702	22	0	0	0	0	176	288	178	149	146
gene999	CP007536.1	801598	803481	+	1884	0	0	0	0	0	440	420	564	354	358
gene1000	CP007536.1	803668	804063	+	396	216	330	472	210	288	1050	1067	1343	783	802
gene1001	CP007536.1	804122	804598	+	477	28	100	0	0	0	146	153	184	110	160
gene1002	CP007536.1	804648	805652	+	1005	38	0	0	0	0	202	208	238	115	230
gene1003	CP007536.1	805659	808361	+	2703	8	0	0	0	0	317	479	297	186	219
gene1004	CP007536.1	808416	808550	-	135	0	0	0	0	0	36	86	27	4	60
gene1005	CP007536.1	809124	809417	+	294	0	0	0	0	0	21	6	20	7	24
gene1006	CP007536.1	809504	809851	+	348	48	95	97	63	207	87	289	127	43	10
gene1007	CP007536.1	809987	810334	+	348	168	371	375	511	1075	235	339	359	158	90
gene1008	CP007536.1	810490	811008	+	519	4	0	0	0	0	20	65	34	18	20
gene1009	CP007536.1	811014	811253	+	240	78	6	0	0	22	96	73	54	17	62
gene1010	CP007536.1	811294	811536	+	243	0	0	0	0	0	0	43	2	0	4
gene1011	CP007536.1	811421	813709	+	2289	0	0	0	0	0	271	354	529	337	283
gene1012	CP007536.1	813706	814404	+	699	0	0	0	0	0	146	136	130	105	25
gene1013	CP007536.1	814450	814812	+	363	34	0	0	0	27	108	98	203	142	185
gene1014	CP007536.1	814787	815017	+	231	0	0	0	0	0	106	78	98	38	118
gene1015	CP007536.1	815377	815619	+	243	0	0	0	0	0	81	164	88	96	83
gene1016	CP007536.1	815638	815847	-	210	0	0	0	0	0	46	54	45	14	2
gene1017	CP007536.1	815939	816334	-	396	0	0	0	0	0	33	48	23	14	5
gene1018	CP007536.1	816802	817545	+	744	46	0	0	0	0	257	192	282	123	155
gene1019	CP007536.1	817605	817838	-	234	0	0	0	0	0	15	0	27	7	66
gene1020	CP007536.1	818075	818182	+	108	0	0	0	0	0	18	0	36	4	12
gene1021	CP007536.1	818268	818744	+	477	0	0	0	0	0	290	290	170	80	76
gene1022	CP007536.1	818999	819133	+	135	0	0	0	0	0	22	44	4	2	0
gene1023	CP007536.1	819117	820385	-	1269	62	30	0	0	0	555	510	422	355	520
gene1024	CP007536.1	820673	820746	+	74	0	0	0	0	0	12	59	6	4	10
gene1025	CP007536.1	820848	821054	-	207	0	0	0	0	0	25	54	22	23	38
gene1026	CP007536.1	821114	821326	+	213	0	0	7	40	0	15	58	35	18	27
gene1027	CP007536.1	821342	821503	+	162	417	705	178	456	194	171	454	564	353	135
